Date,Open,High,Low,Close,Volume
2012-11-05,141.37,142.17,140.93,141.9,85689537
2012-11-06,142.27,143.52,142.13,142.93,92986054
2012-11-07,141.65,141.68,139.07,139.78,225343099
2012-11-08,139.72,140.41,137.95,137.95,157175132
2012-11-09,137.61,139.44,137.56,138.16,176223379
2012-11-12,138.55,138.81,137.96,138.24,86603151
2012-11-13,137.52,139.25,137.36,137.8,109828367
2012-11-14,138.21,138.43,135.62,135.98,169918714
2012-11-15,135.95,136.49,135.18,135.7,160925393
2012-11-16,135.92,136.64,134.7,136.35,213614223
2012-11-19,137.92,139.15,137.83,139.15,125631368
2012-11-20,138.89,139.42,138.08,139.28,99716218
2012-11-21,139.31,139.57,139.03,139.45,66253719
2012-11-23,140.14,141.4,140.04,141.33,53475754
2012-11-26,140.69,141.17,140.19,141.17,86491321
2012-11-27,140.91,141.38,140.24,140.38,113949581
2012-11-28,139.77,141.54,139.0,141.48,153889115
2012-11-29,142.02,142.5,141.37,142.16,132400376
2012-11-30,142.17,142.42,141.67,142.06,115188920
2012-12-03,142.81,142.92,141.34,141.47,103003304
2012-12-04,141.44,141.87,140.87,141.22,110768908
2012-12-05,141.41,142.16,140.38,141.5,134509723
2012-12-06,141.37,142.04,141.16,141.91,81136204
2012-12-07,142.52,142.69,141.67,142.4,89962391
2012-12-10,142.22,142.81,142.15,142.52,77982728
2012-12-11,143.07,144.11,142.99,143.42,120603702
2012-12-12,144.01,144.55,143.31,143.54,120477188
2012-12-13,143.44,143.83,142.28,142.66,112947114
2012-12-14,142.32,142.58,141.88,142.12,104037074
2012-12-17,142.5,143.85,142.43,143.79,111442822
2012-12-18,144.0,145.5,143.79,145.41,145326291
2012-12-19,145.55,145.58,144.24,144.27,128974934
2012-12-20,144.36,145.14,143.99,145.14,111467367
2012-12-21,142.2,143.1,141.94,142.77,177975926
2012-12-24,142.45,142.56,142.19,142.33,38187479
2012-12-26,142.62,142.71,141.35,141.65,84610171
2012-12-27,141.75,142.07,139.92,141.59,153336787
2012-12-28,140.65,141.42,139.87,139.87,118554490
2012-12-31,139.72,142.56,139.54,142.52,207656929
2013-01-02,145.28,146.15,144.73,146.15,154762124
2013-01-03,145.99,146.37,145.34,145.73,125860852
2013-01-04,145.97,146.61,145.67,146.45,95968674
2013-01-07,145.87,146.11,145.43,145.92,82356729
2013-01-08,145.72,145.91,144.98,145.53,96448983
2013-01-09,145.89,146.32,145.64,145.99,76541810
2013-01-10,146.72,147.09,145.97,147.07,104550895
2013-01-11,147.06,147.15,146.61,147.07,78613039
2013-01-14,146.89,147.07,146.43,146.96,76595746
2013-01-15,146.29,147.21,146.2,147.07,76588670
2013-01-16,146.78,147.28,146.61,147.05,82147565
2013-01-17,147.66,148.42,147.43,147.97,105543278
2013-01-18,148.0,148.49,147.43,148.33,143478816
2013-01-22,148.34,149.13,147.98,149.1,85902251
2013-01-23,149.12,149.49,148.86,149.37,78754801
2013-01-24,149.12,150.14,149.01,149.42,117043379
2013-01-25,149.88,150.25,149.46,150.25,106824958
2013-01-28,150.33,150.33,149.51,150.07,93917764
2013-01-29,149.78,150.85,149.67,150.66,90136030
2013-01-30,150.64,150.93,149.93,150.08,107211861
2013-01-31,149.93,150.38,149.6,149.7,92861090
2013-02-01,150.66,151.41,150.39,151.28,107936504
2013-02-04,150.31,150.58,149.43,149.53,121333979
2013-02-05,150.36,151.48,150.29,151.08,100432126
2013-02-06,150.53,151.26,150.41,151.18,112965414
2013-02-07,151.21,151.35,149.87,150.96,134829859
2013-02-08,151.24,151.89,151.22,151.8,81972911
2013-02-11,151.76,151.9,151.4,151.77,56652554
2013-02-12,151.78,152.3,151.61,152.0,56302742
2013-02-13,152.32,152.61,151.72,152.15,73581411
2013-02-14,151.71,152.47,151.52,152.31,60435268
2013-02-15,152.43,152.59,151.55,152.17,188245249
2013-02-19,152.38,153.28,152.36,153.2,74071874
2013-02-20,153.1,153.19,151.26,151.26,139347892
2013-02-21,150.9,150.96,149.94,150.4,145971241
2013-02-22,151.14,151.89,150.77,151.89,89396944
2013-02-25,152.6,152.86,149.0,149.01,179800584
2013-02-26,149.7,150.19,148.73,150.02,171479227
2013-02-27,149.89,152.33,149.77,151.91,119804636
2013-02-28,151.87,152.87,151.53,151.53,102964805
2013-03-01,151.09,152.34,150.42,152.11,143240616
2013-03-04,151.76,152.92,151.52,152.92,82972461
2013-03-05,153.65,154.7,153.64,154.29,104395367
2013-03-06,154.83,154.92,154.16,154.5,83236231
2013-03-07,154.69,154.98,154.52,154.82,63019696
2013-03-08,155.47,155.64,154.66,155.44,97289907
2013-03-11,155.35,156.04,155.14,156.03,63325768
2013-03-12,155.93,156.1,155.22,155.64,92466418
2013-03-13,155.75,156.12,155.24,155.84,75940737
2013-03-14,156.31,156.8,156.22,156.73,104114468
2013-03-15,155.87,156.04,155.31,155.88,105586093
2013-03-18,154.29,155.64,154.2,154.97,110246166
2013-03-19,155.29,155.51,153.59,154.61,149589016
2013-03-20,155.51,155.95,155.26,155.63,95297590
2013-03-21,154.79,155.31,154.1,154.34,115911436
2013-03-22,154.85,155.6,154.73,155.6,91810945
2013-03-25,155.99,156.27,154.35,155.07,131779376
2013-03-26,155.6,156.22,155.42,156.15,75820229
2013-03-27,155.27,156.25,155.0,156.16,89094609
2013-03-28,156.13,156.85,155.85,156.55,83562253
2013-04-01,156.6,156.91,155.68,156.05,82034908
2013-04-02,156.59,157.21,156.37,156.82,89338807
2013-04-03,156.92,157.03,154.82,155.15,138206759
2013-04-04,155.43,156.17,155.09,155.85,108461458
2013-04-05,153.98,155.35,153.77,155.18,132353586
2013-04-08,155.25,156.22,154.76,156.21,75492357
2013-04-09,156.48,157.32,155.98,156.75,91965576
2013-04-10,157.17,158.87,157.13,158.73,114994657
2013-04-11,158.69,159.71,158.54,159.22,94630689
2013-04-12,158.71,159.04,157.92,158.78,100708097
2013-04-15,158.02,158.13,155.12,155.17,186156530
2013-04-16,156.32,157.49,155.91,157.42,126446312
2013-04-17,156.31,156.32,154.28,155.04,198134784
2013-04-18,155.33,155.41,153.55,154.14,148855136
2013-04-19,154.44,155.55,154.12,155.48,123372939
2013-04-22,155.78,156.54,154.75,156.2,90989989
2013-04-23,156.96,157.93,156.18,157.79,120401270
2013-04-24,157.82,158.29,157.54,157.9,81172344
2013-04-25,158.25,159.27,158.1,158.61,113027663
2013-04-26,158.34,158.6,157.73,158.26,83462024
2013-04-29,158.65,159.65,158.42,159.3,79783650
2013-04-30,159.29,159.72,158.61,159.68,101793690
2013-05-01,159.32,159.41,158.1,158.32,111301363
2013-05-02,158.67,159.89,158.53,159.72,82810536
2013-05-03,161.13,161.88,161.04,161.32,115367824
2013-05-06,161.46,162.01,161.42,161.78,58439339
2013-05-07,162.09,162.65,161.67,162.63,80144043
2013-05-08,162.42,163.39,162.33,163.34,83868841
